Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.32,Orbit,Paperback,468,2015,2015,2020/07/16,2020/02/09,rec-favorites,rec-favorites (#9),read,"Just incredible and honestly one of the best books I’ve read in a while. The way the author weaves this story is masterful, the representation of systemic oppression is heart wrenching and powerful, and I am thoroughly destroyed. To the people who said this book is confusing, I say you were not reading closely enough; this is a book to be digested not sped through. I want more of this world and I am waiting to get my hands on the sequel with bated breath. Thank you N.K. Jemisin for this gem of a book!",,,1,,,0,,,,,
8045416,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,"Lee, Harper",,"=""""","=""""",5,4.27,Arrow Books Ltd,Paperback,309,2010,1960,,2012/09/22,rec-favorites,rec-favorites (#5),read,,,,1,,,0,,,,,
24945396,Bright Dead Things,Ada Limon,"Limon, Ada",,"=""1571314717""","=""9781571314710""",0,4.23,Milkweed Editions,Paperback,105,2015,2015,2019/08/18,2019/01/21,,,read,"A very solid and powerful collection, but personally it didn't fully live up to my expectations. Perhaps it is because I just read a poetry collection about grief and loss (<i>Tenacity of Lace</i>) that really emotionally touched me, but this book just didn't evoke many of the ground-breaking feelings that I expected it to. I suspect it might be because of the more simplistic writing style bordering on telling the reader too explicitly at times. A few standout poems that I enjoyed though include: <b>How to Triumph like a Girl</b>, <b>Nashville After Hours</b>, and <b>The Vine</b>",,,1,,,0,,,,,
34419228,Madness,Sam Sax,"Sax, Sam",,"=""0143131702""","=""9780143131700""",0,4.29,Penguin Books,Paperback,96,2017,2017,2020/04/20,2020/03/07,,,read,,,,1,,,0,,,,,
36586697,Queenie,Candice Carty-Williams,"Carty-Williams, Candice",,"=""""","=""""",0,3.88,Orion Publishing,Hardcover,330,2019,2019,2020/05/01,2020/04/20,,,read,"I ended up picking this book up when I saw it was part of the 2020 Women's Prize Longlist, and I am glad I did as it was quite interesting. <br/><br/>Queenie by Candice Carty-Williams challenges the stereotypes of being a black women by following the life of Queenie, a black woman with Jamaican heritage living in London and working in the Journalism industry, who struggles greatly in her everyday life. She has an unhealthy relationship with men, intense anxiety, and more issues that she works through or accepts throughout the course of her journey in the novel. This journey in becoming someone who can accept herself is a slow but powerful journey that will leave an impact on readers willing to overlook some of the books flaws. <br/><br/>While the book's latter half is incredibly impactful, a reader's journey to get there is difficult. The first 50-60% of the book solely discusses Queenie's relationship with men, and her tendency to make what many would consider ""wrong"" choices time and time again. I believe this focus took up too much of the book, and cutting certain scenes would have helped the pacing of the book overall. Along with that, Queenie suffers a miscarriage at the beginning of the book, and how she feels about that experience isn't really explored until when she seeks therapy (70% of the book), in which it's only mentioned in passing. Another aspect of the book that felt added on as an embellishment was the Black Lives Matter Movement, which is truly a shame because I would have loved to see this aspect more integrated in Queenie's character as it would have really solidified her motives for wanting to enter the journalism industry, and would have just given her character a lot more substance and body; at times she felt a bit flat, as she didn't seem to have any interests, and even the ones she had weren't really explored in the book unfortunately. Also, and more obviously, adding more substance and importance on the Black Lives Matter Movement would have been incredible in shedding more light on the systemic inequality black people face in the UK and US - this novel could have made a larger statement without deviating too much from the main plot I believe.<br/><br/>Some people have criticized how Queenie didn't want to date black men, and I want to explore that a bit more here. In the book, readers are explicitly told that Queenie doesn't date black men because of an experience as a child she had that made her anxious in the company of a black men, and it isn't ever explicitly addressed for the rest of the novel. However, when Queenie described her relationship with Roy, her mother's boyfriend, when she was younger, and how he mentally abused her that clicked with me as to why she would be hesitant to date black men. I truly wonder if this subtext was the author's intent, but I am sticking by it all the same until a better explanation is stated. <br/><br/>On to the explicitly positive things I enjoyed in this novel. I found that the Jamaican elements and slang (KMT) as they added a ton to the narrative, and I felt incredibly invested in Queenie's well-being and the overall plot. Also, this is a very impactful novel that has remained in my thoughts for the past couple months; it is incredibly memorable and thought-provoking. <br/><br/>Overall, although I believe this book tried to achieve too much, I would still recommend it though to people looking for an impactful novel.",true,,1,,,0,,,,,
894659,Nightwood,Djuna Barnes,"Barnes, Djuna",,"=""057123528X""","=""9780571235285""",0,3.62,Faber & Faber,Paperback,153,2007,1936,,2020/08/15,to-read,to-read (#773),to-read,,,,0,,,0,,,,,
54173619,Intimations: Six Essays,Zadie Smith,"Smith, Zadie",,"=""""","=""""",0,4.05,Penguin Books,Kindle Edition,111,2020,2020,2020/08/13,2020/07/28,,,read,,,,1,,,0,,,,,
53205854,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,"Wells, Martha",,"=""1250765374""","=""9781250765376""",0,4.32,Tor.com,Hardcover,168,2021,2021,,2020/08/08,to-read,to-read (#758),to-read,,,,0,,,0,,,,,
85870,"Flight from Nevèrÿon (Return to Nevèrÿon, #3)",Samuel R. Delany,"Delany, Samuel R.",,"=""0819562777""","=""9780819562777""",0,4.08,Wesleyan University Press,Paperback,376,1994,1985,,2020/07/20,"to-read, rec-to-me","to-read (#672), rec-to-me (#12)",to-read,,,,0,,,0,,,,,
85887,"Return to Nevèrÿon (Return to Nevèrÿon, #4)",Samuel R. Delany,"Delany, Samuel R.",,"=""0819562785""","=""9780819562784""",0,3.97,Wesleyan University Press,Paperback,291,1994,1987,,2020/07/20,"to-read, rec-to-me","to-read (#673), rec-to-me (#11)",to-read,,,,0,,,0,,,,,
